,id_str,text,screen_name,location,country,created_at,first_hashtag
83,1388644399454773249,RT @lolobe4_: Are you ready to have some naughty fun?? If you spoil me with a sexy gift from my wishlist I’ll make you a hot thank you vide…,dmanning281,,,2021-05-01 23:59:59,
84,1388644399370932224,Bulls done for the play-in tournament. Better hope they get a Top 4 pick… https://t.co/dR6CIK26q3,_Bones,,,2021-05-01 23:59:59,
85,1388644399349788674,RT @MJA_Editor: A travel ban for Australian citizens from India will come into effect with criminal sanctions. I read this was based on “ex…,Scully_tom,,,2021-05-01 23:59:59,
86,1388644399328989192,RT @travisakers: Imagine having such a dark soul that you try to spin the President picking a flower for his wife into a negative “news” st…,just_jodi6267,,,2021-05-01 23:59:59,
87,1388644399295340546,RT @morethanmySLE: My heart breaks for you my friend. I am so sorry from the bottom of my heart there are no condolences that can take away…,LaundryPrncss,,,2021-05-01 23:59:59,
88,1388644399278559235,"RT @RKJ65: The total compensation for the CEO of Chipotle was about $38,000,000 in 2020. That boils down to $19,000 an hour. That would pay…",pmknqwn,,,2021-05-01 23:59:59,
89,1388644399249305601,"@OrangeJuiceTN It already has a currency. Plus, there's no reason it can't join the EU and rely on the common market",NeoLibCatboyCom,,,2021-05-01 23:59:59,
90,1388644399232528385,"RT @hartng: One thing about the elite, they network a lot. Mostly among themselves. They're constantly on the phone. Talking to themselves.…",PrometheusNaija,,,2021-05-01 23:59:59,
91,1388644399211589635,"RT @tsuaii: For anyone interested in having physical prints of my artwork, I've just opened a shop on INPRNT! ✨
🔸 https://t.co/jAHgTrqbp3…",TringyTheMudkip,,,2021-05-01 23:59:59,
92,1388644399194644484,RT @EpsteinNetwork: @RealGhislaine 🤣😂😅 Just get her to name names already and release the videos of the nasty old ass pedos she's been coll…,JoyCannabis,,,2021-05-01 23:59:59,
93,1388644399169429510,RT @nelsonlflores: People will be like “race is a social construction but that category is definitely an ethnicity and not a race because i…,VOnodera,,,2021-05-01 23:59:59,
94,1388644399161044995,@OlaVaittinen @ErrorsUnforced @TheFanChild @tennisabstract She never had a chance to win the grand slam,Williams18Joe,,,2021-05-01 23:59:59,
95,1388644399135879171,"RT @ztsamudzi: Just thinking of the many layers of this woman — a black Jew, a survivor of the still unrecognized as genocide by the Zimbab…",redneurons,,,2021-05-01 23:59:59,
96,1388644399119147009,This is the smartest dumb thing I have seen in a while. https://t.co/TwMHcocNMf,LeSapient,,,2021-05-01 23:59:59,
97,1388644399094009859,RT @CoryBMorgan: Safer here at the rodeo than at a Wal Mart or a Costco but guess which one is banned? https://t.co/tGQHAhjhLl,granlund_,,,2021-05-01 23:59:59,
98,1388644399089848327,"RT @sumsumii: listen, when I was younger I was always worried that the princesses from castle crashers wouldn't want to kiss me because I w…",dogboynoah_,,,2021-05-01 23:59:59,
99,1388644399006027782,"When you pose for a memory but you look like THE MASK #jim #carrey #chola #fridays @ Socorro, Texas https://t.co/zOSjDMjLOh",Hustler_915,"Socorro, TX",United States,2021-05-01 23:59:59,jim
100,1388644398980866049,I have a #teslamodel3 Not bc I think it’s good for the environment. It’s a great performing car and very convenient… https://t.co/jmrfYQPuMm,joeyc149,,,2021-05-01 23:59:59,teslamodel3
101,1388644398959788032,@___inCANdescent @smoke_nd_pearlz I can say I'm a person who is mentally unwell and I've never once had the urge to… https://t.co/eazdFOLNLp,depressed_bruja,,,2021-05-01 23:59:59,
102,1388644398859112448,@CMA_Docs All Physicians or only The Ones your Gestapo Sabre wielding Thugs threatened. You disgusting. This countr… https://t.co/NBSdjbUixC,MyTime15199983,,,2021-05-01 23:59:59,
103,1388644398817218560,At the end of last year I found myself at the beginning of a journey of telling my story because it matters to me.… https://t.co/tPaBKfZ2A5,rosejpercy,,,2021-05-01 23:59:59,
104,1388644398796206080,RT @LAVIDAPRADA: i should’ve been born as the child of a celebrity https://t.co/jrFC8c3apx,disGUSTing_31,,,2021-05-01 23:59:59,
105,1388644398792167431,"RT @Kyle_T_Davis: It just turned 12:05am for me so lets do the first #ShamelessSelfpromoSaturday of the day!

Who is up for a pinned retwee…",NSharpAuthor,,,2021-05-01 23:59:59,ShamelessSelfpromoSaturday
106,1388644398657900546,"RT @johnvvariety: It,s gonna rock when every single logo is a play button because our minds have melted to the point where we can only iden…",waveridderr,,,2021-05-01 23:59:59,
107,1388644398641127431,you're a legend I vote #Louies for #BestFanArmy at the #iHeartAwards,bbyrebelz,,,2021-05-01 23:59:59,Louies
108,1388644398632689669,"RT @LabourAreToast: Manchester Labour councillors sanctioned a George Floyd memorial in preference to a memorial for Lee Rigby. 

it's OK t…",markmoore1969,,,2021-05-01 23:59:59,
109,1388644398611660805,"RT @ECMcLaughlin: I have fallen down a hole on the FEC website.

It is fucking astonishing what people are taking off Super PACs, and how m…",Terri2cat,,,2021-05-01 23:59:59,
110,1388644398523723781,"RT @PanickedFoodie: Companies are starting to nix the remote roles.

It's a bad look. A very bad look.

""We can't do it,"" is obviously fals…",AsheEmblem,,,2021-05-01 23:59:59,
111,1388644398464909312,"RT @mattgaetz: The Post Office shouldn’t have a covert program to spy on Americans.

My colleagues and I have introduced a bill to ban this…",klc4_trump,,,2021-05-01 23:59:59,
112,1388644398288629762,"RT @peachqin: in case blinks, lisa stans, or anyone wants to know, ten in a thai idol from wayv, nct, &amp; superm. he's the main dancer, main…",thitisuda_12,,,2021-05-01 23:59:58,
113,1388644398154592262,RT @pastorlocke: The Biden Administration is a Marxist organization. Pass it on.,MikeFre45479192,,,2021-05-01 23:59:58,
114,1388644398091710465,RT @hermit_hwarang: Shane Nguyen was killed and dismembered this week by two white men who he offered a ride to. This is the gofundme to su…,saleos_exe,,,2021-05-01 23:59:58,
115,1388644398091493379,"RT @adlanhzq__: donning the MCKK stripes 😍

proud to hv a Sultan that takes good care of our school 🏛",akukeadilan_,,,2021-05-01 23:59:58,
116,1388644398062358532,@Crimsix @LunkersTV @SpinnaSpence Is the CPU fan clipping a cable?,BenJNissim,,,2021-05-01 23:59:58,
117,1388644398007668737,"RT @ka1c0re: hi twitter, please don’t scroll ,, so im a 17 year old trans guy who’s currently living in a mentally abusive and physically a…",PrettyBrownElf,,,2021-05-01 23:59:58,
118,1388644397932179459,RT @heyitsmeterra: Babe what's wrong? You've barely touched your critically acclaimed MMORPG FINAL FANTASY XIV that has a free trial up to…,honeyyellow_,,,2021-05-01 23:59:58,
119,1388644397928095746,"Today on the Island of Sodor, 
Murdoch’s new Driver is disturbing his Peace and Quiet! There is A New Friend for Bo… https://t.co/wFiaMvBoyx",Dappin_trucc,,,2021-05-01 23:59:58,
120,1388644397898739714,When was the last time you saw jazz hands in a public health video? 👐  #publichealth #covid19vaccination #besafe https://t.co/zPTdhRLoC9,jlishawa,,,2021-05-01 23:59:58,publichealth
121,1388644397848219649,"RT @tedcruz: A beautiful day with Heidi at the #KentuckyDerby

In 2017, Caroline (then age 9) had us put $2 on Always Dreaming, and she won…",jannykmak,,,2021-05-01 23:59:58,KentuckyDerby
122,1388644397831663617,"RT @JoeBuscaglia: From the way #Bills GM Brandon Beane just spoke about DE Mario Addison, he is VERY much in the plans for 2021 as both a p…",Wakes3019,,,2021-05-01 23:59:58,Bills
123,1388644397718323200,"RT @Ara__chibi: Behold, the body of a champion~ https://t.co/xvEFRo2PYO",Amalthemir_,,,2021-05-01 23:59:58,
124,1388644397667991553,"RT @lindyli: We still want to know what happened to the 20 million vaccine doses that went missing under Jared Kushner.

Were they sold?

I…",5141quid,,,2021-05-01 23:59:58,
125,1388644397474979841,RT @hermit_hwarang: Shane Nguyen was killed and dismembered this week by two white men who he offered a ride to. This is the gofundme to su…,bantenIeo,,,2021-05-01 23:59:58,
126,1388644397437227008,"RT @flameswallower: trans man at the doctor, cis man at the covid vaccine, nonbinary on the internet, dyke with the gals, fag with the dude…",shoegazehoney,,,2021-05-01 23:59:58,
127,1388644397407997953,"@RomancingNope THIS MADNESS MUST END @austintexasgov 
Move these people off the streets and get them the health / m… https://t.co/LIGewb6877",BryFi1,,,2021-05-01 23:59:58,
128,1388644397366091777,"RT @marinakoren: Harris will swear in the new NASA administrator, Bill Nelson, a former senator who once flew on the space shuttle, on Mond…",sugglet36,,,2021-05-01 23:59:58,
129,1388644397336596481,RT @AttorneyCrump: They’ve tried to justify their overzealous actions by saying they felt threatened... by the walking stick of a 90pd elde…,michellred,,,2021-05-01 23:59:58,
130,1388644397315624960,"RT @iStellWantU: A'TIN, I hope you always keep in mind and practice continuously the three qualities that Josh would always want our fandom…",PabloNRPicasso,,,2021-05-01 23:59:58,
131,1388644397278011402,@HECKSCAPER I really wish an app like that would exist though. There are so many moments where I pull up Twitter af… https://t.co/YFhrAemwAi,Conehead_,,,2021-05-01 23:59:58,
132,1388644397240233984,"RT @ProfRobStew: DARK MATTER ISN'T *PARTICLES.*

It's merely an ALTERED STATE of #GRAVITY. 😉🙏

""To make a measurement of THE PHOTON once wi…",Pripprisx,,,2021-05-01 23:59:58,GRAVITY
133,1388644397215064070,"RT @reclaimthefight: Prefacing a lie with ""I don't know who needs to hear this"" does not magically make the lie true. Medicare for All will…",all_the_Mindy,,,2021-05-01 23:59:58,
134,1388644397164732416,"""... Is that payback for all the shit I did in front of them?""

Not that he necessarily minded the little bet in th… https://t.co/avvrW1ZTK9",SoulStealinApe,,,2021-05-01 23:59:58,
135,1388644397118545923,"RT @SIKEMOONFINANCE: $SIKE is a hybrid community of HODLers and Smart Trade Robots. 
The Sikemoon protocol will enable automate buyback and…",Aniya00128529,,,2021-05-01 23:59:58,
136,1388644397101764614,"RT @SerahUndaunted: During #EndSARS Lekki Protest,there was a guy who always came to me for brooms to join d cleaning,he would always reque…",dharmmy_king,,,2021-05-01 23:59:58,EndSARS
137,1388644397034659840,@meatloafgrrr Me on a ton of prednisone RN eating everything in the house! 👊🤣,Arena_Rome,,,2021-05-01 23:59:58,
138,1388644397005295620,RT @iamfreedom: From the jungle of African. Here comes the prince. I am a lion living in a human body. You will fear what you can’t conquer…,brownkrypton12,,,2021-05-01 23:59:58,
139,1388644396929748993,me n the girls stepping out sheesh it’s been a minute 😌,maleriez,,,2021-05-01 23:59:58,
140,1388644396925702146,"I went to @caseysgenstore to order a turkey sandwich, they wanted my phone number. I ate a pre-made cheese burger i… https://t.co/0Ib4ekatli",peteburtons,,,2021-05-01 23:59:58,
141,1388644396854247424,RT @Ayra58189688: Gosh!!! He just looked at her without taking his eyes off even when she gave direct eye contact for the lyrics😍😍. Ashwine…,ShazfaShaz,,,2021-05-01 23:59:58,
142,1388644396816535554,"I made this Kihyun drawing because i’m really excited with the new comeback 🐹❤️

@OfficialMonstaX
#몬스타엑스
#MONSTAX… https://t.co/Gpl60do8AG",yookimap2211,,,2021-05-01 23:59:58,몬스타엑스
143,1388644396808105984,Hey Everyone!!! Rachel Wilson @RachelW88093475 is a new member of the #WritingCommunity!!! She needs 30 follower fr… https://t.co/6lOssCk5gB,dkwestfall1,,,2021-05-01 23:59:58,WritingCommunity
144,1388644396749529091,"RT @AndyGraham22: @nascarfan170 @DLand91 maybe it's more of a NASCAR thing where racing with this reconfiguration has been bad, but IndyCar…",DGIveyNASCARFan,,,2021-05-01 23:59:58,
145,1388644396749492225,"RT @bcuchargers: Jacob Wesselmann is a 𝐬𝐭𝐫𝐢𝐤𝐞𝐨𝐮𝐭 𝐦𝐚𝐜𝐡𝐢𝐧𝐞 🔥 

The Charger ace has struck out 9️⃣2️⃣ batters this year and is the owner of @C…",DPrinceForShur,,,2021-05-01 23:59:58,
146,1388644396745195526,"RT @AJaulas: #Mexico
Louis Aragón: “How long it is,to die for a lifetime!”
Ely just breathes &amp; eats, Is that living?
Would those who hold E…",Oscar992288,,,2021-05-01 23:59:58,Mexico
147,1388644396690821120,@BluItaliano1878 Need big Abi back. James was a blow today as he has been showing his class of late and possibly co… https://t.co/HyeoFBCwzB,CbChamp83,,,2021-05-01 23:59:58,
148,1388644396652929027,RT @tsengputterman: Imperialist countries donating pandemic supplies to Global South epicenters while refusing to end their pharmaceuticals…,unoriginalrikki,,,2021-05-01 23:59:58,
149,1388644396581543938,"RT @BFeatherSD: Per @CALFIRESANDIEGO: #SouthernFire is 40 Acres, with a critical Rate of Spread. Burning to the NW from Agua Caliente area.…",rabbi_d,,,2021-05-01 23:59:58,SouthernFire
